Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,UMAP Accuracy,Isomap Accuracy,KernelPCA Accuracy,MDS Accuracy,Better Method
28,0.05,85,7,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,8,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,3,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,5,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,6,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.05,85,4,1,0.02,0.02,0.06666666666666667,0.016666666666666666,0.01,0.01,umap
28,0.1,85,6,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,5,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,4,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,7,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,3,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.1,85,8,1,0.02666666666666667,0.03333333333333333,0.22,0.043333333333333335,0.02,0.05,umap
28,0.2,85,6,1,0.12666666666666668,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.2,85,5,1,0.13,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.2,85,3,1,0.09333333333333334,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.2,85,4,1,0.1,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.05,85,7,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,8,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,3,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,5,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,6,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.05,85,4,3,0.035555555555555556,0.03111111111111111,0.15777777777777777,0.02666666666666667,0.024444444444444446,0.035555555555555556,umap
28,0.1,85,6,3,0.04888888888888889,0.056666666666666664,0.31444444444444447,0.09333333333333334,0.057777777777777775,0.0811111111111111,umap
28,0.1,85,5,3,0.04777777777777778,0.056666666666666664,0.31444444444444447,0.09333333333333334,0.057777777777777775,0.0811111111111111,umap
28,0.1,85,4,3,0.04888888888888889,0.056666666666666664,0.31444444444444447,0.09333333333333334,0.057777777777777775,0.0811111111111111,umap
28,0.1,85,7,3,0.04888888888888889,0.056666666666666664,0.31444444444444447,0.09333333333333334,0.057777777777777775,0.0811111111111111,umap
28,0.1,85,3,3,0.04888888888888889,0.056666666666666664,0.31444444444444447,0.09333333333333334,0.057777777777777775,0.0811111111111111,umap
28,0.1,85,8,3,0.04777777777777778,0.056666666666666664,0.31444444444444447,0.09333333333333334,0.057777777777777775,0.0811111111111111,umap
28,0.2,85,6,3,0.18333333333333332,0.16111111111111112,0.4533333333333333,0.25333333333333335,0.15222222222222223,0.18444444444444444,umap
28,0.2,85,5,3,0.1811111111111111,0.16111111111111112,0.4533333333333333,0.25333333333333335,0.15222222222222223,0.18444444444444444,umap
28,0.2,85,3,3,0.14222222222222222,0.16111111111111112,0.4533333333333333,0.25333333333333335,0.15222222222222223,0.18444444444444444,umap
28,0.2,85,4,3,0.15888888888888889,0.16111111111111112,0.4533333333333333,0.25333333333333335,0.15222222222222223,0.18444444444444444,umap
28,0.05,85,7,6,0.05277777777777778,0.050555555555555555,0.18555555555555556,0.05555555555555555,0.03777777777777778,0.050555555555555555,umap
28,0.05,85,8,6,0.05277777777777778,0.050555555555555555,0.18555555555555556,0.05555555555555555,0.03777777777777778,0.050555555555555555,umap
28,0.05,85,3,6,0.05277777777777778,0.050555555555555555,0.18555555555555556,0.05555555555555555,0.03777777777777778,0.050555555555555555,umap
28,0.05,85,5,6,0.05277777777777778,0.050555555555555555,0.18555555555555556,0.05555555555555555,0.03777777777777778,0.050555555555555555,umap
28,0.05,85,6,6,0.05277777777777778,0.050555555555555555,0.18555555555555556,0.05555555555555555,0.03777777777777778,0.050555555555555555,umap
28,0.05,85,4,6,0.05277777777777778,0.050555555555555555,0.18555555555555556,0.05555555555555555,0.03777777777777778,0.050555555555555555,umap
28,0.1,85,6,6,0.08166666666666667,0.08277777777777778,0.33611111111111114,0.11555555555555555,0.07055555555555555,0.10222222222222223,umap
28,0.1,85,5,6,0.08166666666666667,0.08277777777777778,0.33611111111111114,0.11555555555555555,0.07055555555555555,0.10222222222222223,umap
28,0.1,85,4,6,0.08166666666666667,0.08277777777777778,0.33611111111111114,0.11555555555555555,0.07055555555555555,0.10222222222222223,umap
28,0.1,85,7,6,0.08222222222222222,0.08277777777777778,0.33611111111111114,0.11555555555555555,0.07055555555555555,0.10222222222222223,umap
28,0.1,85,3,6,0.08166666666666667,0.08277777777777778,0.33611111111111114,0.11555555555555555,0.07055555555555555,0.10222222222222223,umap
28,0.1,85,8,6,0.08222222222222222,0.08277777777777778,0.33611111111111114,0.11555555555555555,0.07055555555555555,0.10222222222222223,umap
28,0.2,85,6,6,0.22722222222222221,0.21833333333333332,0.44666666666666666,0.3111111111111111,0.19777777777777777,0.2561111111111111,umap
28,0.2,85,5,6,0.22777777777777777,0.21833333333333332,0.44666666666666666,0.3111111111111111,0.19777777777777777,0.2561111111111111,umap
28,0.2,85,3,6,0.22166666666666668,0.21833333333333332,0.44666666666666666,0.3111111111111111,0.19777777777777777,0.2561111111111111,umap
28,0.2,85,4,6,0.2061111111111111,0.21833333333333332,0.44666666666666666,0.3111111111111111,0.19777777777777777,0.2561111111111111,umap
28,0.05,85,7,10,0.076,0.07133333333333333,0.21566666666666667,0.08133333333333333,0.059666666666666666,0.06433333333333334,umap
28,0.05,85,8,10,0.076,0.07133333333333333,0.21566666666666667,0.08133333333333333,0.059666666666666666,0.06433333333333334,umap
28,0.05,85,3,10,0.076,0.07133333333333333,0.21566666666666667,0.08133333333333333,0.059666666666666666,0.06433333333333334,umap
28,0.05,85,5,10,0.076,0.07133333333333333,0.21566666666666667,0.08133333333333333,0.059666666666666666,0.06433333333333334,umap
28,0.05,85,6,10,0.076,0.07133333333333333,0.21566666666666667,0.08133333333333333,0.059666666666666666,0.06433333333333334,umap
28,0.05,85,4,10,0.076,0.07133333333333333,0.21566666666666667,0.08133333333333333,0.059666666666666666,0.06433333333333334,umap
28,0.1,85,5,10,0.11366666666666667,0.11533333333333333,0.35333333333333333,0.14333333333333334,0.109,0.13466666666666666,umap
28,0.1,85,6,10,0.114,0.11533333333333333,0.35333333333333333,0.14333333333333334,0.109,0.13466666666666666,umap
28,0.1,85,4,10,0.11466666666666667,0.11533333333333333,0.35333333333333333,0.14333333333333334,0.109,0.13466666666666666,umap
28,0.1,85,7,10,0.11366666666666667,0.11533333333333333,0.35333333333333333,0.14333333333333334,0.109,0.13466666666666666,umap
28,0.1,85,3,10,0.115,0.11533333333333333,0.35333333333333333,0.14333333333333334,0.109,0.13466666666666666,umap
28,0.1,85,8,10,0.11433333333333333,0.11533333333333333,0.35333333333333333,0.14333333333333334,0.109,0.13466666666666666,umap
28,0.2,85,6,10,0.2833333333333333,0.2683333333333333,0.434,0.3333333333333333,0.25,0.31766666666666665,umap
28,0.2,85,5,10,0.2836666666666667,0.2683333333333333,0.434,0.3333333333333333,0.25,0.31766666666666665,umap
28,0.2,85,3,10,0.2713333333333333,0.2683333333333333,0.434,0.3333333333333333,0.25,0.31766666666666665,umap
28,0.2,85,4,10,0.26033333333333336,0.2683333333333333,0.434,0.3333333333333333,0.25,0.31766666666666665,umap
28,0.05,85,7,15,0.102,0.09844444444444445,0.238,0.10111111111111111,0.07933333333333334,0.09066666666666667,umap
28,0.05,85,8,15,0.102,0.09844444444444445,0.238,0.10111111111111111,0.07933333333333334,0.09066666666666667,umap
28,0.05,85,3,15,0.102,0.09844444444444445,0.238,0.10111111111111111,0.07933333333333334,0.09066666666666667,umap
28,0.05,85,5,15,0.102,0.09844444444444445,0.238,0.10111111111111111,0.07933333333333334,0.09066666666666667,umap
28,0.05,85,6,15,0.102,0.09844444444444445,0.238,0.10111111111111111,0.07933333333333334,0.09066666666666667,umap
28,0.05,85,4,15,0.102,0.09844444444444445,0.238,0.10111111111111111,0.07933333333333334,0.09066666666666667,umap
28,0.1,85,5,15,0.15755555555555556,0.15666666666666668,0.3457777777777778,0.17422222222222222,0.138,0.1708888888888889,umap
28,0.1,85,6,15,0.15711111111111112,0.15666666666666668,0.3457777777777778,0.17422222222222222,0.138,0.1708888888888889,umap
28,0.1,85,4,15,0.15688888888888888,0.15666666666666668,0.3457777777777778,0.17422222222222222,0.138,0.1708888888888889,umap
28,0.1,85,7,15,0.15688888888888888,0.15666666666666668,0.3457777777777778,0.17422222222222222,0.138,0.1708888888888889,umap
28,0.1,85,3,15,0.15711111111111112,0.15666666666666668,0.3457777777777778,0.17422222222222222,0.138,0.1708888888888889,umap
28,0.1,85,8,15,0.15666666666666668,0.15666666666666668,0.3457777777777778,0.17422222222222222,0.138,0.1708888888888889,umap
28,0.2,85,6,15,0.33844444444444444,0.32222222222222224,0.4226666666666667,0.33755555555555555,0.28,0.36577777777777776,umap
28,0.2,85,5,15,0.3382222222222222,0.32222222222222224,0.4226666666666667,0.33755555555555555,0.28,0.36577777777777776,umap
28,0.2,85,3,15,0.31866666666666665,0.32222222222222224,0.4226666666666667,0.33755555555555555,0.28,0.36577777777777776,umap
28,0.2,85,4,15,0.3164444444444444,0.32222222222222224,0.4226666666666667,0.33755555555555555,0.28,0.36577777777777776,umap
28,0.4,85,6,1,0.3,0.2833333333333333,0.4066666666666667,0.26,0.2633333333333333,0.37333333333333335,umap
28,0.4,85,6,3,0.4488888888888889,0.43555555555555553,0.4922222222222222,0.46444444444444444,0.3433333333333333,0.5222222222222223,mds
28,0.2,85,7,1,0.12333333333333334,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.4,85,4,1,0.2966666666666667,0.2833333333333333,0.4066666666666667,0.26,0.2633333333333333,0.37333333333333335,umap
28,0.4,85,5,1,0.2833333333333333,0.2833333333333333,0.4066666666666667,0.26,0.2633333333333333,0.37333333333333335,umap
28,0.4,85,7,1,0.3,0.2833333333333333,0.4066666666666667,0.26,0.2633333333333333,0.37333333333333335,umap
28,0.2,85,8,1,0.09333333333333334,0.08666666666666667,0.36666666666666664,0.10333333333333333,0.09666666666666666,0.14,umap
28,0.4,85,3,1,0.31333333333333335,0.2833333333333333,0.4066666666666667,0.26,0.2633333333333333,0.37333333333333335,umap
28,0.4,85,6,6,0.5155555555555555,0.5,0.45666666666666667,0.5538888888888889,0.385,0.5783333333333334,mds
28,0.4,85,8,1,0.3,0.2833333333333333,0.4066666666666667,0.26,0.2633333333333333,0.37333333333333335,umap
28,0.4,85,4,3,0.44333333333333336,0.43555555555555553,0.4922222222222222,0.46444444444444444,0.3433333333333333,0.5222222222222223,mds
28,0.2,85,7,3,0.18333333333333332,0.16111111111111112,0.4533333333333333,0.25333333333333335,0.15222222222222223,0.18444444444444444,umap
28,0.4,85,5,3,0.44666666666666666,0.43555555555555553,0.4922222222222222,0.46444444444444444,0.3433333333333333,0.5222222222222223,mds
28,0.4,85,7,3,0.45111111111111113,0.43555555555555553,0.4922222222222222,0.46444444444444444,0.3433333333333333,0.5222222222222223,mds
28,0.4,85,6,10,0.5456666666666666,0.5346666666666666,0.4513333333333333,0.522,0.409,0.611,mds
28,0.2,85,8,3,0.15444444444444444,0.16111111111111112,0.4533333333333333,0.25333333333333335,0.15222222222222223,0.18444444444444444,umap
28,0.4,85,3,3,0.43777777777777777,0.43555555555555553,0.4922222222222222,0.46444444444444444,0.3433333333333333,0.5222222222222223,mds
28,0.4,85,8,3,0.4444444444444444,0.43555555555555553,0.4922222222222222,0.46444444444444444,0.3433333333333333,0.5222222222222223,mds
28,0.4,85,4,6,0.49333333333333335,0.5,0.45666666666666667,0.5538888888888889,0.385,0.5783333333333334,mds
28,0.2,85,7,6,0.22722222222222221,0.21833333333333332,0.44666666666666666,0.3111111111111111,0.19777777777777777,0.2561111111111111,umap
28,0.4,85,6,15,0.5808888888888889,0.5673333333333334,0.43777777777777777,0.4882222222222222,0.4268888888888889,0.6366666666666667,mds
28,0.4,85,5,6,0.5122222222222222,0.5,0.45666666666666667,0.5538888888888889,0.385,0.5783333333333334,mds
28,0.4,85,7,6,0.5161111111111111,0.5,0.45666666666666667,0.5538888888888889,0.385,0.5783333333333334,mds
28,0.2,85,8,6,0.2038888888888889,0.21833333333333332,0.44666666666666666,0.3111111111111111,0.19777777777777777,0.2561111111111111,umap
28,0.4,85,3,6,0.5027777777777778,0.5,0.45666666666666667,0.5538888888888889,0.385,0.5783333333333334,mds
28,0.4,85,8,6,0.4955555555555556,0.5,0.45666666666666667,0.5538888888888889,0.385,0.5783333333333334,mds
28,0.4,85,4,10,0.54,0.5346666666666666,0.4513333333333333,0.522,0.409,0.611,mds
28,0.2,85,7,10,0.283,0.2683333333333333,0.434,0.3333333333333333,0.25,0.31766666666666665,umap
28,0.4,85,5,10,0.5496666666666666,0.5346666666666666,0.4513333333333333,0.522,0.409,0.611,mds
28,0.4,85,7,10,0.5483333333333333,0.5346666666666666,0.4513333333333333,0.522,0.409,0.611,mds
28,0.2,85,8,10,0.26466666666666666,0.2683333333333333,0.434,0.3333333333333333,0.25,0.31766666666666665,umap
28,0.4,85,3,10,0.538,0.5346666666666666,0.4513333333333333,0.522,0.409,0.611,mds
28,0.4,85,8,10,0.544,0.5346666666666666,0.4513333333333333,0.522,0.409,0.611,mds
28,0.4,85,4,15,0.5724444444444444,0.5673333333333334,0.43777777777777777,0.4882222222222222,0.4268888888888889,0.6366666666666667,mds
28,0.2,85,7,15,0.33666666666666667,0.32222222222222224,0.4226666666666667,0.33755555555555555,0.28,0.36577777777777776,umap
28,0.4,85,5,15,0.5795555555555556,0.5673333333333334,0.43777777777777777,0.4882222222222222,0.4268888888888889,0.6366666666666667,mds
28,0.4,85,7,15,0.5826666666666667,0.5673333333333334,0.43777777777777777,0.4882222222222222,0.4268888888888889,0.6366666666666667,mds
28,0.2,85,8,15,0.3168888888888889,0.32222222222222224,0.4226666666666667,0.33755555555555555,0.28,0.36577777777777776,umap
28,0.4,85,3,15,0.5684444444444444,0.5673333333333334,0.43777777777777777,0.4882222222222222,0.4268888888888889,0.6366666666666667,mds
28,0.4,85,8,15,0.5737777777777778,0.5673333333333334,0.43777777777777777,0.4882222222222222,0.4268888888888889,0.6366666666666667,mds
28,0.6,85,6,1,0.51,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,4,1,0.5233333333333333,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,3,1,0.5033333333333333,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,5,1,0.5033333333333333,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,8,1,0.5166666666666667,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,7,1,0.5133333333333333,0.5,0.4166666666666667,0.31666666666666665,0.41,0.6,mds
28,0.6,85,6,3,0.6477777777777778,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,4,3,0.6411111111111111,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,3,3,0.6211111111111111,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,5,3,0.6411111111111111,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,8,3,0.6533333333333333,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,7,3,0.6288888888888889,0.6333333333333333,0.48333333333333334,0.56,0.48333333333333334,0.69,mds
28,0.6,85,4,6,0.6877777777777778,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,6,6,0.6883333333333334,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,3,6,0.6805555555555556,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,5,6,0.6788888888888889,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,8,6,0.6822222222222222,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,7,6,0.6738888888888889,0.6822222222222222,0.4633333333333333,0.6572222222222223,0.5,0.7422222222222222,mds
28,0.6,85,4,10,0.7063333333333334,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,6,10,0.703,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,3,10,0.703,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,5,10,0.706,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,8,10,0.705,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,7,10,0.7046666666666667,0.7066666666666667,0.459,0.584,0.505,0.747,mds
28,0.6,85,4,15,0.7411111111111112,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,6,15,0.7397777777777778,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,3,15,0.7344444444444445,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,5,15,0.7346666666666667,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,8,15,0.7411111111111112,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
28,0.6,85,7,15,0.7324444444444445,0.7313333333333333,0.44222222222222224,0.528,0.5053333333333333,0.7715555555555556,mds
